qvalues
---------------
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 0 -0.02256246418429172 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=2) 0.004039573930270488 
State_key(percent_of_class=3, duration=4, percent_duration=0, bytes_client=3, bytes_server=0, ppi_duration=0, ppi_percent_duration=1, centroid_size=2) -0.002795212299254444 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=1) -0.023412712299254446 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=2, bytes_server=2, ppi_duration=0, ppi_percent_duration=1, centroid_size=2) -0.025245212299254444 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=3) 0.023187712299254443 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) 0.0020881610172031615 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=3, bytes_server=0, ppi_duration=0, ppi_percent_duration=1, centroid_size=2) 0.002729620901404983 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=2) -0.011111037980882758 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 0.011002571321810834 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=2, bytes_server=3, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) -0.024345212299254442 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) -0.0006142122992544453 
State_key(percent_of_class=3, duration=3, percent_duration=0, bytes_client=3, bytes_server=3, ppi_duration=1, ppi_percent_duration=0, centroid_size=2) 0.0036537540377973706 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) -0.0056687521628788875 
State_key(percent_of_class=3, duration=7, percent_duration=0, bytes_client=1, bytes_server=1, ppi_duration=5, ppi_percent_duration=0, centroid_size=3) 0.004185434073447992 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) 0.0013804188295455542 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 0.007823103782770926 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=1) -0.022013248013540158 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) 0.00901903644294701 
State_key(percent_of_class=2, duration=0, percent_duration=2, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) -0.014621212121212118 
