qvalues
---------------
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 1 0.03583114074717158 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) -0.03747506260450296 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=3, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=3) -0.020869223822895237 
State_key(percent_of_class=3, duration=3, percent_duration=0, bytes_client=2, bytes_server=4, ppi_duration=0, ppi_percent_duration=1, centroid_size=3) 0.02542949117593153 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) -0.022216811480841616 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) -0.015333336414026767 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=1, ppi_percent_duration=0, centroid_size=2) -0.027375259490949846 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=2) 0.019662152903388467 
State_key(percent_of_class=3, duration=4, percent_duration=0, bytes_client=3, bytes_server=0, ppi_duration=0, ppi_percent_duration=1, centroid_size=2) 0.016948721029411383 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=1) -0.037849884033074384 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=2, bytes_server=2, ppi_duration=0, ppi_percent_duration=1, centroid_size=2) -0.040171797952488306 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=3) 0.03850833641402677 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) 0.016683336414026768 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=3, bytes_server=0, ppi_duration=0, ppi_percent_duration=1, centroid_size=2) -0.017738797647756252 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=2) -0.02543586139635438 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) -0.036310896792245036 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=2, bytes_server=3, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) 0.039533336414026767 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 0.015483336414026768 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 0.01994445801091535 
State_key(percent_of_class=3, duration=3, percent_duration=0, bytes_client=3, bytes_server=3, ppi_duration=1, ppi_percent_duration=0, centroid_size=2) -0.01819255715622857 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) -0.020677959817293 
State_key(percent_of_class=3, duration=7, percent_duration=0, bytes_client=1, bytes_server=1, ppi_duration=5, ppi_percent_duration=0, centroid_size=3) 0.01808540029348347 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) -0.01673116385010229 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 0.022660222860913213 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=1) 0.03723260111990912 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) 0.024251249757992744 
State_key(percent_of_class=2, duration=0, percent_duration=2, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 0.010230934603194266 
